"","Genotype","APA2","TrainSessionComboNum","conflict","m","se","len","measure"
"41","FMR1KO","yoked-consistent",5,"consistent",12.0233333333333,5.28970803647149,3,"Path to the 1st Entrance"
"42","FMR1KO","yoked-consistent",6,"consistent",7.05,3.84258636858041,5,"Path to the 1st Entrance"
"43","FMR1KO","yoked-consistent",7,"consistent",5.646,3.35473784370702,5,"Path to the 1st Entrance"
"44","FMR1KO","yoked-consistent",8,"consistent",5.834,3.26901147137785,5,"Path to the 1st Entrance"
"45","FMR1KO","yoked-consistent",9,"consistent",1.02857142857143,0.649950285906284,7,"Path to the 1st Entrance"
"46","FMR1KO","consistent",1,"consistent",0.208571428571429,0.123431657809736,7,"Path to the 1st Entrance"
"47","FMR1KO","consistent",2,"consistent",0.872857142857143,0.515441162342255,7,"Path to the 1st Entrance"
"48","FMR1KO","consistent",3,"consistent",0.412857142857143,0.0843946027870967,7,"Path to the 1st Entrance"
"49","FMR1KO","consistent",4,"consistent",3.42428571428571,1.85984876131528,7,"Path to the 1st Entrance"
"50","FMR1KO","consistent",5,"consistent",3.978,1.49152070049329,5,"Path to the 1st Entrance"
"51","FMR1KO","consistent",6,"consistent",0.871428571428571,0.368803913388419,7,"Path to the 1st Entrance"
"52","FMR1KO","consistent",7,"consistent",2.34,1.20686370398649,6,"Path to the 1st Entrance"
"53","FMR1KO","consistent",8,"consistent",3.66333333333333,2.3448591523681,6,"Path to the 1st Entrance"
"54","FMR1KO","consistent",9,"consistent",4.21444444444444,1.28919668259725,9,"Path to the 1st Entrance"
"55","FMR1KO","yoked-conflict",1,"conflict",0.6925,0.386638828020846,4,"Path to the 1st Entrance"
"56","FMR1KO","yoked-conflict",2,"conflict",3.9775,3.42158436741421,4,"Path to the 1st Entrance"
"57","FMR1KO","yoked-conflict",3,"conflict",4.615,3.86631930911041,4,"Path to the 1st Entrance"
"58","FMR1KO","yoked-conflict",4,"conflict",4.005,3.53565293357064,4,"Path to the 1st Entrance"
"59","FMR1KO","yoked-conflict",5,"conflict",4.99333333333333,4.1933929513515,3,"Path to the 1st Entrance"
"60","FMR1KO","yoked-conflict",6,"conflict",4.9025,4.53608012679083,4,"Path to the 1st Entrance"
"61","FMR1KO","yoked-conflict",7,"conflict",3.355,3.15539088967859,4,"Path to the 1st Entrance"
"62","FMR1KO","yoked-conflict",8,"conflict",4.89,4.85504205268434,3,"Path to the 1st Entrance"
"63","FMR1KO","yoked-conflict",9,"conflict",0.464,0.188430358488222,5,"Path to the 1st Entrance"
"64","FMR1KO","conflict",1,"conflict",0.525,0.290645832586672,4,"Path to the 1st Entrance"
"65","FMR1KO","conflict",2,"conflict",0.545,0.124398553046247,4,"Path to the 1st Entrance"
"66","FMR1KO","conflict",3,"conflict",0.2775,0.14653640048352,4,"Path to the 1st Entrance"
"67","FMR1KO","conflict",4,"conflict",0.76,0.408472765310002,4,"Path to the 1st Entrance"
"68","FMR1KO","conflict",5,"conflict",2.24333333333333,0.828036499463909,3,"Path to the 1st Entrance"
"69","FMR1KO","conflict",6,"conflict",0.4,0.278567765543682,4,"Path to the 1st Entrance"
"70","FMR1KO","conflict",7,"conflict",1.0125,1.0125,4,"Path to the 1st Entrance"
"71","FMR1KO","conflict",8,"conflict",0.9075,0.521749860245948,4,"Path to the 1st Entrance"
"72","FMR1KO","conflict",9,"conflict",3.754,0.882063489778372,5,"Path to the 1st Entrance"
"73","WT","yoked-consistent",1,"consistent",29.25,1.93110503770941,4,"Number of Entrances"
"74","WT","yoked-consistent",2,"consistent",13.5,2.39791576165636,4,"Number of Entrances"
"75","WT","yoked-consistent",3,"consistent",12.75,3.9024564913227,4,"Number of Entrances"
