"","pvalgenotypeFMR1WT","padjgenotypeFMR1WT","log2FoldChange","rownames"
"Ddo",0.841270974622411,0.999781696584314,-0.0310038837739195,"Ddo"
"Ddost",0.421741977613125,0.985986616742483,0.0527420307929495,"Ddost"
"Ddr1",0.868336152533954,0.999781696584314,0.0176867101804164,"Ddr1"
"Ddr2",0.0440262882803941,0.505438956527143,0.324696165823761,"Ddr2"
"Ddrgk1",0.201854427100625,0.86731284625679,0.120422806104712,"Ddrgk1"
"Ddt",0.151944559182566,0.81319701368347,0.173773972889443,"Ddt"
"Ddx1",0.384526986083405,0.977333395603235,0.0666132186586084,"Ddx1"
"Ddx10",0.786973377567222,0.999781696584314,-0.01708893106352,"Ddx10"
"Ddx11",0.682233636937603,0.999781696584314,0.136574199427342,"Ddx11"
"Ddx17",0.885015712315816,0.999781696584314,0.00927377490666334,"Ddx17"
"Ddx18",0.58164886322739,0.999781696584314,0.0525759353463883,"Ddx18"
"Ddx19a",0.717797137621793,0.999781696584314,0.03044079610994,"Ddx19a"
"Ddx19b",0.940137756288924,0.999781696584314,0.0067980199540464,"Ddx19b"
"Ddx20",0.0770320775255914,0.638827847221639,0.186598252929296,"Ddx20"
"Ddx21",0.534216773089967,0.999781696584314,-0.0404405988542724,"Ddx21"
"Ddx23",0.604699611438141,0.999781696584314,-0.0373107132218237,"Ddx23"
"Ddx24",0.3750456361515,0.97302100967793,-0.0580554936931747,"Ddx24"
"Ddx25",0.986804605114771,0.999781696584314,0.00143193563883756,"Ddx25"
"Ddx26b",0.581018805381869,0.999781696584314,0.0727565358764545,"Ddx26b"
"Ddx27",0.167096869309489,0.835935959707743,0.112558895786622,"Ddx27"
"Ddx28",0.502311061940493,0.999781696584314,0.0661088918889199,"Ddx28"
"Ddx31",0.0382761524135747,0.474224619260554,0.215829396770249,"Ddx31"
"Ddx39",0.00206319272752739,0.104624828718392,0.282531943398489,"Ddx39"
"Ddx39b",0.322915074499644,0.953751081695934,0.0799634618285957,"Ddx39b"
"Ddx3x",0.0641011734072001,0.592836695938697,-0.173314874437807,"Ddx3x"
"Ddx3y",0.543095900807653,0.999781696584314,-0.0551685318211841,"Ddx3y"
"Ddx4",0.0873833388526437,0.671856876528274,-0.220876219406531,"Ddx4"
"Ddx41",0.336244654434823,0.958110922658339,0.0845693415541584,"Ddx41"
"Ddx42",0.909735130671047,0.999781696584314,-0.00566733827894248,"Ddx42"
"Ddx43",0.821911046914705,0.999781696584314,-0.379359512399376,"Ddx43"
"Ddx46",0.486501353221504,0.999781696584314,-0.0446931068844253,"Ddx46"
"Ddx47",0.408642983327584,0.982696237495791,0.0717603107322768,"Ddx47"
"Ddx49",0.827681368898783,0.999781696584314,-0.0255161886233712,"Ddx49"
"Ddx5",0.872503970617586,0.999781696584314,0.0107825857682222,"Ddx5"
"Ddx50",0.056969511702845,0.563118891867858,0.134573918198671,"Ddx50"
"Ddx51",0.774976268759467,0.999781696584314,0.0235753760094564,"Ddx51"
"Ddx52",0.0971883455076534,0.704149759697597,0.118072962706012,"Ddx52"
"Ddx54",0.730533538809948,0.999781696584314,0.0310349573166571,"Ddx54"
"Ddx55",0.522311517688893,0.999781696584314,0.0553640246703534,"Ddx55"
"Ddx56",0.979985833903427,0.999781696584314,-0.00221434535527988,"Ddx56"
"Ddx58",0.291210127272517,0.9353287273667,0.182009701779457,"Ddx58"
"Ddx59",0.811849360264143,0.999781696584314,-0.0356329432408046,"Ddx59"
"Ddx6",0.16319872545596,0.83307921969154,-0.0967214565597218,"Ddx6"
