Gene	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
Vdac2|22334	12668	11575	8927	9511	14130	10798	12357	8500	10819	7908	8230	9512
Vdac3|22335	13325	12042	9188	9848	15458	10793	13033	8439	10657	8261	8246	10108
Vdr|22337	7	2	10	3	69	18	12	22	17	7	8	7
Vegfa|22339	1293	1017	1468	1297	1665	979	1253	1130	1186	1238	908	994
Vegfb|22340	505	568	604	438	739	379	671	426	530	425	354	475
Vegfc|22341	139	130	67	123	97	113	122	89	116	108	78	56
Veph1|72789	108	83	124	100	102	97	75	79	102	98	103	68
Vezf1|22344	1837	1337	1433	1484	1683	1206	1562	1196	1408	1208	1224	1051
Vezt|215008	1946	1736	1583	1901	2665	1839	1893	1549	1651	1391	1650	1518
Vgf|381677	7155	7697	6239	6365	10826	7071	10041	6288	6987	5806	8006	7206
Vgll1|170828	0	0	0	0	0	0	0	0	0	0	0	0
Vgll2|215031	0	6	0	0	0	0	0	1	3	0	3	0
Vgll3|73569	81	39	66	179	42	34	23	87	132	66	48	38
Vgll4|232334	596	409	479	606	725	486	513	459	497	530	459	297
Vhl|22346	2659	2435	2407	2480	3289	2252	2611	1964	2434	1955	1760	1846
Vil1|22349	10	30	6	11	15	26	18	13	23	8	10	5
Vill|22351	76	26	87	149	188	109	58	131	84	50	62	103
Vimp|109815	2762	2334	1715	1755	2750	2085	2609	1443	1824	1548	1551	1799
Vim|22352	4342	2938	2081	1855	2596	1851	2669	1922	2349	2430	1968	2189
Vipas39|104799	2295	2463	2036	2451	2926	2257	2481	2039	2450	1939	1913	2131
Vipr1|22354	1468	1521	1705	1952	2025	1516	1664	1769	1987	1489	1376	1519
Vipr2|22355	13	9	46	21	1	44	6	26	9	13	10	13
Vip|22353	60	87	71	132	173	109	64	85	140	86	80	66
Vit|74199	638	545	340	300	567	384	515	374	436	498	426	391
Vkorc1l1|69568	3920	4020	3723	4500	4886	4095	4070	3800	4441	3525	3110	3229
Vkorc1|27973	487	501	375	403	616	470	531	367	441	334	340	404
Vldlr|22359	5743	4488	4321	4783	6993	4333	5199	4068	4927	4173	3960	3767
Vma21|67048	2055	1602	1507	1860	2074	1625	1888	1582	1858	1458	1185	1391
Vmac|106639	546	599	846	834	426	685	578	611	632	507	463	475
