"gene","logP"
"1700092K14Rik",-0.000218327247344918
"1700092M07Rik",-0.000218327247344918
"1700093K21Rik",-0.000218327247344918
"1700094D03Rik",-0.000218327247344918
"1700094J05Rik",-0.000218327247344918
"1700095A21Rik",NA
"1700095B10Rik",-0.000218327247344918
"1700096J18Rik",-0.0274605738707858
"1700096K18Rik",-0.000218327247344918
"1700100L14Rik",-0.000218327247344918
"1700101E01Rik",-0.000218327247344918
"1700101I11Rik",-0.000218327247344918
"1700102H20Rik",-0.000218327247344918
"1700102P08Rik",-0.000218327247344918
"1700105P06Rik",-0.000218327247344918
"1700108F19Rik",-0.000218327247344918
"1700109G14Rik",-0.0406881147493197
"1700109H08Rik",-0.624626005495883
"1700109K24Rik",NA
"1700110C19Rik",-0.000218327247344918
"1700110I01Rik",-0.000218327247344918
"1700110K17Rik",-0.000218327247344918
"1700111N16Rik",-0.000218327247344918
"1700112E06Rik",-0.779035434174498
"1700113A16Rik",-0.000218327247344918
"1700113H08Rik",-0.000218327247344918
"1700119H24Rik",-0.000218327247344918
"1700120C14Rik",-0.000218327247344918
"1700120K04Rik",-0.000218327247344918
"1700121L16Rik",-0.000218327247344918
"1700121N20Rik",NA
"1700123I01Rik",-0.000218327247344918
"1700123K08Rik",-1.42699039422785
"1700123L14Rik",-0.000218327247344918
"1700123M08Rik",-0.000218327247344918
"1700123O20Rik",-0.000218327247344918
"1700123O21Rik",-0.000218327247344918
"1700124L16Rik",-0.000218327247344918
"1700125G02Rik",NA
"1700125G22Rik",-0.000218327247344918
"1700125H03Rik",-0.000218327247344918
"1700125H20Rik",-0.000218327247344918
"1700128F08Rik",-0.000218327247344918
"1810006J02Rik",-0.000218327247344918
"1810008I18Rik",-0.000218327247344918
"1810009A15Rik",-0.000218327247344918
"1810010D01Rik",-0.0212104803696721
"1810010H24Rik",-0.238961246805448
"1810011H11Rik",-0.0212104803696721
"1810011O10Rik",-0.000218327247344918
"1810012K16Rik",-0.000218327247344918
"1810013L24Rik",-0.0212104803696721
"1810014B01Rik",-0.0212104803696721
"1810019D21Rik",-0.0212104803696721
"1810020O05Rik",-0.000218327247344918
"1810021B22Rik",-0.000218327247344918
"1810022K09Rik",-0.000218327247344918
"1810024B03Rik",-0.000218327247344918
"1810026B05Rik",-0.000218327247344918
"1810026J23Rik",-0.0212104803696721
"1810030O07Rik",-0.780579710077687
"1810032O08Rik",-0.128181427919945
"1810034E14Rik",-0.000218327247344918
"1810037I17Rik",-0.000218327247344918
"1810041L15Rik",-0.000218327247344918
"1810043G02Rik",-0.000218327247344918
"1810043H04Rik",-0.000218327247344918
"1810044D09Rik",-0.000218327247344918
"1810046K07Rik",NA
"1810055G02Rik",-0.0273496043489527
"1810058I24Rik",-0.000218327247344918
"1810062G17Rik",-0.000218327247344918
"1810062O18Rik",-0.000218327247344918
"1810064F22Rik",-0.0761958452960205
"1810065E05Rik",NA
"2010001E11Rik",-0.0559582018619622
"2010002M12Rik",-0.000218327247344918
"2010005H15Rik",-0.000218327247344918
"2010012O05Rik",-0.000218327247344918
"2010015L04Rik",-0.011179392437445
"2010107E04Rik",-0.0543770752101337
"2010107G12Rik",-0.000218327247344918
"2010107G23Rik",-0.0273496043489527
"2010109A12Rik",-0.000218327247344918
"2010109I03Rik",-0.000218327247344918
"2010111I01Rik",-0.00316251770278226
"2010204K13Rik",-0.000218327247344918
"2010300C02Rik",-0.0273496043489527
"2010308F09Rik",-0.000218327247344918
"2010315B03Rik",-0.000218327247344918
"2010320M18Rik",-0.000218327247344918
"2200002D01Rik",-0.000218327247344918
"2210011C24Rik",-0.00316251770278226
"2210013O21Rik",-0.692316140623157
"2210015D19Rik",-0.000218327247344918
"2210016F16Rik",-0.000218327247344918
"2210016L21Rik",-0.000218327247344918
"2210018M11Rik",-0.52283630418556
"2210039B01Rik",-0.000218327247344918
"2210404O09Rik",-0.000218327247344918
"2210408F21Rik",-0.00316251770278226
"2210408I21Rik",-0.000218327247344918
"2210416O15Rik",-0.000218327247344918
"2210420H20Rik",-0.000218327247344918
"2300002M23Rik",NA
"2300005B03Rik",NA
"2300009A05Rik",-0.651547961477799
"2310001H17Rik",-0.000218327247344918
"2310001K24Rik",-0.000218327247344918
"2310002D06Rik",-0.000218327247344918
"2310002F09Rik",-3.848255070047
"2310002J15Rik",-23.7267870781093
"2310003H01Rik",-0.0431357631851025
"2310005A03Rik",-0.000218327247344918
"2310005G13Rik",-0.000218327247344918
"2310007B03Rik",-0.161125449798388
"2310007L24Rik",-0.000218327247344918
"2310008N11Rik",-0.2886220456655
"2310009A05Rik",-9.52075786694636e-06
"2310009B15Rik",-0.000218327247344918
"2310010J17Rik",-0.000218327247344918
"2310011J03Rik",-0.000218327247344918
"2310014L17Rik",-0.000218327247344918
"2310015A10Rik",-0.099428188369638
"2310015B20Rik",-0.000218327247344918
"2310022A10Rik",-0.000218327247344918
"2310022B05Rik",-0.0331206731798361
"2310030G06Rik",-0.141256380373252
"2310033P09Rik",-0.000218327247344918
"2310034G01Rik",-0.00316251770278226
"2310034O05Rik",-0.000166268939712869
"2310035C23Rik",-0.000218327247344918
"2310036O22Rik",-0.030870385110364
"2310039H08Rik",-0.0999737918834638
"2310039L15Rik",-0.000218327247344918
"2310040G24Rik",-0.000218327247344918
"2310042E22Rik",-0.000218327247344918
"2310043L19Rik",-0.0157658582415032
"2310045N01Rik",-0.000218327247344918
"2310047M10Rik",-0.000218327247344918
"2310050C09Rik",NA
"2310057J18Rik",-1.78524272475853
"2310057M21Rik",-0.000218327247344918
"2310061I04Rik",-0.000218327247344918
"2310061J03Rik",-0.000218327247344918
"2310065F04Rik",NA
"2310067B10Rik",-0.0306345248937886
"2310068J16Rik",-0.000218327247344918
"2310069G16Rik",-0.000218327247344918
"2410002F23Rik",-0.110757448732423
"2410004B18Rik",-0.000218327247344918
"2410004I01Rik",-0.000218327247344918
"2410004N09Rik",-0.000218327247344918
"2410004P03Rik",-0.000218327247344918
"2410006H16Rik",-0.294516120623136
"2410007B07Rik",-0.000218327247344918
"2410012M07Rik",NA
"2410015M20Rik",-0.000218327247344918
"2410016O06Rik",-0.0795799445442722
"2410018L13Rik",-0.000218327247344918
"2410021H03Rik",-0.000218327247344918
"2410076I21Rik",-0.0212104803696721
"2410088K16Rik",-0.000218327247344918
"2410089E03Rik",-0.234033801237058
"2410114N07Rik",-0.000218327247344918
"2410124H12Rik",-0.000218327247344918
"2410127L17Rik",-0.00316251770278226
"2410131K14Rik",-0.799905397761323
"2410137M14Rik",-0.0615642148311252
"2410141K09Rik",-0.0131443620152364
"2500004C02Rik",-0.000218327247344918
"2510002D24Rik",-0.000218327247344918
"2510003E04Rik",-0.000218327247344918
"2510009E07Rik",-0.000218327247344918
"2510039O18Rik",-0.0446122457295434
"2510049J12Rik",-0.000218327247344918
"2610001J05Rik",-0.0215981314876512
"2610002J02Rik",-0.000218327247344918
"2610002M06Rik",-0.000218327247344918
"2610005L07Rik",-0.142355529621425
"2610008E11Rik",-0.000218327247344918
"2610015P09Rik",-0.000218327247344918
"2610016A17Rik",-0.0117673969655671
"2610018G03Rik",-0.000218327247344918
"2610020C07Rik",-0.154537835034656
"2610020H08Rik",-0.234033801237058
"2610027K06Rik",-0.031344615855809
"2610028E06Rik",-0.000218327247344918
"2610028H24Rik",-0.0446122457295434
"2610034B18Rik",-0.0824103750926791
"2610034M16Rik",-0.935455965075367
"2610035D17Rik",-0.404132390096629
"2610035F20Rik",-0.000218327247344918
"2610037D02Rik",-0.0205522390743346
"2610044O15Rik8",-0.000218327247344918
"2610100L16Rik",-0.000218327247344918
"2610203C20Rik",-0.000218327247344918
"2610203C22Rik",-0.000218327247344918
"2610206C17Rik",-0.0627500533485796
"2610207O16Rik",-0.000218327247344918
"2610301B20Rik",-0.000218327247344918
"2610305D13Rik",-0.000218327247344918
"2610306M01Rik",-0.000218327247344918
"2610307P16Rik",-0.000218327247344918
"2610316D01Rik",-0.000218327247344918
"2610318N02Rik",-0.154537835034656
"2610507B11Rik",-0.287830732210375
"2610507I01Rik",-0.000218327247344918
"2610524H06Rik",-0.0212104803696721
"2610528A11Rik",-0.000218327247344918
"2610528J11Rik",-0.031344615855809
"2700029M09Rik",-0.000218327247344918
"2700038G22Rik",-0.142355529621425
"2700046A07Rik",-0.000218327247344918
"2700046G09Rik",-0.000218327247344918
"2700049A03Rik",-0.000218327247344918
"2700054A10Rik",-0.000218327247344918
"2700060E02Rik",-0.000218327247344918
"2700062C07Rik",-0.000218327247344918
"2700069I18Rik",-0.285176341322021
"2700070H01Rik",-0.000218327247344918
"2700081O15Rik",-0.00246366903077
"2700089E24Rik",-0.0145702601352454
"2700089I24Rik",-0.000218327247344918
"2700094K13Rik",-0.000218327247344918
"2700097O09Rik",-0.875886777475824
"2700099C18Rik",-0.000218327247344918
"2810001G20Rik",-0.000854675405579706
"2810002D19Rik",-0.000218327247344918
"2810004N23Rik",-0.000218327247344918
"2810006K23Rik",-0.000218327247344918
"2810008D09Rik",-0.000218327247344918
"2810013P06Rik",-0.000218327247344918
"2810021J22Rik",-0.0536586677745394
"2810025M15Rik",-0.628719582809259
"2810029C07Rik",-0.0604960650332899
"2810032G03Rik",-0.000218327247344918
"2810047C21Rik1",-0.000218327247344918
