"ID","Genotype","APA2","TrainSession","SdevSpeedArena","Linearity.Arena.","NumEntrances","Time1stEntr","Path1stEntr","Speed1stEntr.cm.s.","Dist1stEntr.m.","NumShock","MaxTimeAvoid","Time2ndEntr","Path2ndEntr","Speed2ndEntr","TimeTarget","pTimeTarget","pTimeCCW","pTimeOPP","pTimeCW","RayleigLength","RayleigAngle","PolarAvgVal","PolarSdVal","PolarMinVal","PolarMinBin","Min50.RngLoBin","Min50.RngHiBin","PolarMaxVal","PolarMaxBin","Max50.RngLoBin","Max50.RngHiBin","AnnularMinVal","AnnularMinBin","AnnularMaxVal","AnnularMaxBin","AnnularAvg","AnnularSd","AnnularSkewnes","AnnularKurtosis","Speed1","Speed2"
"16-122B","FMR1KO","yoked-consistent","Retention",2.59,0.3939,27,13.77,0.34,12.67,1.39,65,43,49.03,1.18,1.41,123.666,0.321,0.2205,0.1789,0.2796,0.17,352.42,158.77,101.18,0.011,220,50,290,0.0538,30,280,70,0.0443,7.5,0.2649,14.5,12.51,21.12,1.82,6.46,0.0246913580246914,0.0240668978176627
"16-123B","FMR1KO","yoked-consistent","Retention",2.69,0.4124,33,12.4,0.24,4.63,1.84,105,45,30.43,0.65,9.44,209.2,0.5258,0.1579,0.0847,0.2316,0.41,353.92,135.71,86.14,0.0069,200,40,330,0.0705,340,310,50,8e-04,16.9,0.3324,14.5,12.78,19.53,1.53,5.25,0.0193548387096774,0.0213604995070654
"16-126B","FMR1KO","yoked-consistent","Retention",3.05,0.4289,18,16.43,0.75,10.33,0.85,45,92,44.9,1.88,5.9,86.768,0.2124,0.2398,0.2571,0.2908,0.11,241.16,189.83,109.27,0.0161,160,320,190,0.0419,210,160,320,0.013,16.9,0.2476,14.5,12.72,23.29,1.45,4.62,0.0456482045039562,0.0418708240534521
"16-126B","FMR1KO","yoked-consistent","Retention",3.3,0.5402,22,1,0,-1,0.85,43,69,19.07,1.21,8.61,81.434,0.2135,0.2646,0.2834,0.2386,0.11,143.37,196.98,97.57,0.0117,330,200,50,0.0415,50,0,180,0.0604,15.8,0.3065,14.5,12.21,23.1,1.62,5.07,0,0.0634504457262716
"16-357A","FMR1KO","yoked-consistent","Retention",2.31,0.3613,11,190.3,4.89,6,0.65,24,190,203.83,5.51,1.71,46.502,0.1166,0.3614,0.3737,0.1482,0.34,139.48,209.01,81.48,0.0041,0,200,100,0.068,120,90,220,0.0548,15.8,0.3105,13.1,10.98,26.2,1.08,3.23,0.0256962690488702,0.0270323308639553
"16-357B","FMR1KO","yoked-consistent","Retention",3,0.4357,28,17.1,0.59,4.84,1.29,71,56,73.5,2.19,1.65,143.031,0.3412,0.3919,0.0992,0.1678,0.31,44.53,159.08,86.61,0.0081,190,110,10,0.056,30,0,130,0.011,15.8,0.3051,13.1,11.33,22.66,1.16,3.49,0.0345029239766082,0.0297959183673469
"16-122C","FMR1KO","conflict","Retention",2.04,0.2841,8,226.77,5.24,1.48,0.58,28,226,352.17,8.08,12.43,57.97,0.1448,0.328,0.3149,0.2124,0.2,132.07,183.51,94.92,0.0095,240,170,60,0.0483,110,60,200,0.0125,16.9,0.298,13.1,12.56,19.5,1.46,5.94,0.0231071129338096,0.0229434648039299
"16-122C","FMR1KO","conflict","Retention",1.96,0.3385,3,196.97,4.04,2.02,0.22,14,196,370.3,8.05,5.94,27.135,0.0493,0.1334,0.4191,0.3982,0.43,195.2,149.37,86.47,3e-04,310,240,170,0.0691,210,160,260,0.0152,16.9,0.2703,13.1,12.63,18.71,1.42,5.94,0.0205107376757882,0.0217391304347826
"16-124C","FMR1KO","conflict","Retention",2.07,0.2525,8,234.6,5.45,1.9,0.55,25,234,291.63,6.71,5.96,49.832,0.0924,0.1513,0.4226,0.3337,0.29,188.17,151.44,92.9,0.0103,330,250,150,0.0584,190,110,250,0.0291,9.7,0.362,15.8,13.77,19.19,2.35,8.45,0.023231031543052,0.023008606796283
"16-125C","FMR1KO","conflict","Retention",1.57,0.239,9,29.67,0.54,1.59,0.71,29,102,93.6,1.74,6.02,55.565,0.1072,0.2366,0.2937,0.3625,0.13,182.78,165.04,103.27,0.0127,340,250,110,0.046,120,40,220,0.0408,7.5,0.4788,14.5,12.94,21.51,1.78,5.59,0.0182002022244692,0.0185897435897436
